dataset,seed,model,stage,error_type,error_message,traceback
df18,18,gaar_focal_loss_cagd,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,18,gaar_cagd_f1_threshold,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,18,focal_loss_cagd_f1_threshold,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,18,gaar_focal_loss_cagd_f1_threshold,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,default,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,gaar,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,focal_loss,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,f1_threshold,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,gaar_focal_loss,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,gaar_f1_threshold,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,focal_loss_f1_threshold,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,gaar_focal_loss_f1_threshold,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,cagd,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,gaar_cagd,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,focal_loss_cagd,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,cagd_f1_threshold,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,gaar_focal_loss_cagd,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,gaar_cagd_f1_threshold,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,focal_loss_cagd_f1_threshold,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
df18,19,gaar_focal_loss_cagd_f1_threshold,fit,FloatingPointError,Model produced non-finite prediction probabilities,"Traceback (most recent call last):
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 512, in run_experiment
    result = run_single_model(
             ^^^^^^^^^^^^^^^^^
  File ""/home/bruno-zabot/Studies/MachineLearning/assignment/src/analyze_addon_performance.py"", line 417, in run_single_model
    raise FloatingPointError(""Model produced non-finite prediction probabilities"")
FloatingPointError: Model produced non-finite prediction probabilities
"
